"","...1","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_Conditions","Attendance","Half-time_Home_Goals","Half-time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials"
"11",11,1930,1930-07-19 15:00:00,"Group 1","Estadio Centenario","Montevideo","Argentina",6,3,"Mexico",NA,42100,3,1,"SAUCEDO Ulises (BOL)","ALONSO Gualberto (URU)","RADULESCU Constantin (ROU)",201,1086,"ARG","MEX"
"12",12,1930,1930-07-20 13:00:00,"Group 2","Estadio Centenario","Montevideo","Brazil",4,0,"Bolivia",NA,25466,1,0,"BALWAY Thomas (FRA)","MATEUCCI Francisco (URU)","VALLEJO Gaspar (MEX)",201,1091,"BRA","BOL"
"13",13,1930,1930-07-20 15:00:00,"Group 4","Estadio Centenario","Montevideo","Paraguay",1,0,"Belgium",NA,12000,1,0,"VALLARINO Ricardo (URU)","MACIAS Jose (ARG)","LOMBARDI Domingo (URU)",201,1089,"PAR","BEL"
"14",14,1930,1930-07-21 14:50:00,"Group 3","Estadio Centenario","Montevideo","Uruguay",4,0,"Romania",NA,70022,4,0,"REGO Gilberto (BRA)","WARNKEN Alberto (CHI)","SAUCEDO Ulises (BOL)",201,1100,"URU","ROU"
"15",15,1930,1930-07-22 14:45:00,"Group 1","Estadio Centenario","Montevideo","Argentina",3,1,"Chile",NA,41459,2,1,"LANGENUS Jean (BEL)","CRISTOPHE Henry (BEL)","SAUCEDO Ulises (BOL)",201,1084,"ARG","CHI"
"16",16,1930,1930-07-26 14:45:00,"Semi-finals","Estadio Centenario","Montevideo","Argentina",6,1,"USA",NA,72886,1,0,"LANGENUS Jean (BEL)","VALLEJO Gaspar (MEX)","WARNKEN Alberto (CHI)",202,1088,"ARG","USA"
"17",17,1930,1930-07-27 14:45:00,"Semi-finals","Estadio Centenario","Montevideo","Uruguay",6,1,"Yugoslavia",NA,79867,3,1,"REGO Gilberto (BRA)","SAUCEDO Ulises (BOL)","BALWAY Thomas (FRA)",202,1101,"URU","YUG"
"18",18,1930,1930-07-30 14:15:00,"Final","Estadio Centenario","Montevideo","Uruguay",4,2,"Argentina",NA,68346,1,2,"LANGENUS Jean (BEL)","SAUCEDO Ulises (BOL)","CRISTOPHE Henry (BEL)",405,1087,"URU","ARG"
"19",19,1934,1934-05-27 16:30:00,"Preliminary round","Stadio Benito Mussolini","Turin","Austria",3,2,"France","Austria win after extra time",16000,0,0,"VAN MOORSEL Johannes (NED)","CAIRONI Camillo (ITA)","BAERT Louis (BEL)",204,1104,"AUT","FRA"
"20",20,1934,1934-05-27 16:30:00,"Preliminary round","Giorgio Ascarelli","Naples","Hungary",4,2,"Egypt",NA,9000,2,2,"BARLASSINA Rinaldo (ITA)","DATTILO Generoso (ITA)","SASSI Otello (ITA)",204,1119,"HUN","EGY"
"21",21,1934,1934-05-27 16:30:00,"Preliminary round","San Siro","Milan","Switzerland",3,2,"Netherlands",NA,33000,2,1,"EKLIND Ivan (SWE)","BERANEK Alois (AUT)","BONIVENTO Ferruccio (ITA)",204,1133,"SUI","NED"
"22",22,1934,1934-05-27 16:30:00,"Preliminary round","Littorale","Bologna","Sweden",3,2,"Argentina",NA,14000,1,1,"BRAUN Eugen (AUT)","CARRARO Albino (ITA)","TURBIANI Giuseppe (ITA)",204,1102,"SWE","ARG"
"23",23,1934,1934-05-27 16:30:00,"Preliminary round","Giovanni Berta","Florence","Germany",5,2,"Belgium",NA,8000,1,2,"MATTEA Francesco (ITA)","MELANDRI Ermenegildo (ITA)","BAERT Jacques (FRA)",204,1108,"GER","BEL"
"24",24,1934,1934-05-27 16:30:00,"Preliminary round","Luigi Ferraris","Genoa","Spain",3,1,"Brazil",NA,21000,3,0,"BIRLEM Alfred (GER)","CARMINATI Ettore (ITA)","IVANCSICS Mihaly (HUN)",204,1111,"ESP","BRA"
"25",25,1934,1934-05-27 16:30:00,"Preliminary round","Nazionale PNF","Rome","Italy",7,1,"USA",NA,25000,3,0,"MERCET Rene (SUI)","ESCARTIN Pedro (ESP)","ZENISEK Bohumil (TCH)",204,1135,"ITA","USA"
"26",26,1934,1934-05-27 16:30:00,"Preliminary round","Littorio","Trieste","Czechoslovakia",2,1,"Romania",NA,9000,0,1,"LANGENUS Jean (BEL)","SCARPI Giuseppe (ITA)","SCORZONI Raffaele (ITA)",204,1141,"TCH","ROU"
"27",27,1934,1934-05-31 16:30:00,"Quarter-finals","Stadio Benito Mussolini","Turin","Czechoslovakia",3,2,"Switzerland",NA,12000,1,1,"BERANEK Alois (AUT)","MOHAMED Youssuf (EGY)","BAERT Jacques (FRA)",418,1143,"TCH","SUI"
"28",28,1934,1934-05-31 16:30:00,"Quarter-finals","San Siro","Milan","Germany",2,1,"Sweden",NA,3000,0,0,"BARLASSINA Rinaldo (ITA)","MERCET Rene (SUI)","VAN MOORSEL Johannes (NED)",418,1129,"GER","SWE"
"29",29,1934,1934-05-31 16:30:00,"Quarter-finals","Giovanni Berta","Florence","Italy",1,1,"Spain",NA,35000,0,0,"BAERT Louis (BEL)","ZENISEK Bohumil (TCH)","IVANCSICS Mihaly (HUN)",418,1122,"ITA","ESP"
"30",30,1934,1934-05-31 16:30:00,"Quarter-finals","Littorale","Bologna","Austria",2,1,"Hungary",NA,23000,1,0,"MATTEA Francesco (ITA)","ESCARTIN Pedro (ESP)","BIRLEM Alfred (GER)",418,1106,"AUT","HUN"
"31",31,1934,1934-06-01 16:30:00,"Quarter-finals","Giovanni Berta","Florence","Italy",1,0,"Spain",NA,43000,1,0,"MERCET Rene (SUI)","IVANCSICS Mihaly (HUN)","ZENISEK Bohumil (TCH)",418,1123,"ITA","ESP"
"32",32,1934,1934-06-03 16:30:00,"Semi-finals","San Siro","Milan","Italy",1,0,"Austria",NA,35000,1,0,"EKLIND Ivan (SWE)","BAERT Louis (BEL)","ZENISEK Bohumil (TCH)",3492,1107,"ITA","AUT"
"33",33,1934,1934-06-03 16:30:00,"Semi-finals","Nazionale PNF","Rome","Czechoslovakia",3,1,"Germany",NA,15000,1,0,"BARLASSINA Rinaldo (ITA)","BERANEK Alois (AUT)","ESCARTIN Pedro (ESP)",3492,1130,"TCH","GER"
"34",34,1934,1934-06-07 18:00:00,"Match for third place","Giorgio Ascarelli","Naples","Germany",3,2,"Austria",NA,7000,3,1,"CARRARO Albino (ITA)","CAIRONI Camillo (ITA)","ESCARTIN Pedro (ESP)",3491,1105,"GER","AUT"
"35",35,1934,1934-06-10 17:30:00,"Final","Nazionale PNF","Rome","Italy",2,1,"Czechoslovakia","Italy win after extra time",55000,0,0,"EKLIND Ivan (SWE)","BAERT Louis (BEL)","IVANCSICS Mihaly (HUN)",3490,1134,"ITA","TCH"
"36",36,1938,1938-06-04 17:00:00,"First round","Parc des Princes","Paris","Switzerland",1,1,"Germany",NA,27152,0,0,"LANGENUS Jean (BEL)","MARENCO Paul (FRA)","VAN MOORSEL Johannes (NED)",206,1165,"SUI","GER"
"37",37,1938,1938-06-05 17:00:00,"First round","Velodrome Municipale","Reims","Hungary",6,0,"Dutch East Indies",NA,9000,4,0,"CONRIE Roger (FRA)","DE LA SALLE Charles (FRA)","WEINGARTNER Karl (AUT)",206,1173,"HUN","INH"
"38",38,1938,1938-06-05 17:00:00,"First round","Stade Olympique","Colombes","France",3,1,"Belgium",NA,30454,2,1,"WUETHRICH Hans (SUI)","KRIST Gustav (TCH)","BIRLEM Alfred (GER)",206,1146,"FRA","BEL"
"39",39,1938,1938-06-05 17:00:00,"First round","Stade Municipal","Toulouse","Cuba",3,3,"Romania",NA,7000,0,0,"SCARPI Giuseppe (ITA)","VALPREDE Ferdinand (FRA)","MERKCX Jean (FRA)",206,1156,"CUB","ROU"
"40",40,1938,1938-06-05 17:00:00,"First round","Stade V�lodrome","Marseilles","Italy",2,1,"Norway","Italy win after extra time",19000,0,0,"BERANEK Alois (AUT)","BOUTOURE D. (FRA)","TREHOU D. (FRA)",206,1179,"ITA","NOR"
"41",41,1938,1938-06-05 17:30:00,"First round","Stade de la Meinau","Strasbourg","Brazil",6,5,"Poland","Brazil win after extra time",13452,0,0,"EKLIND Ivan (SWE)","POISSANT Louis (FRA)","KISSENBERGER Ernest (FRA)",206,1150,"BRA","POL"
"42",42,1938,1938-06-05 18:30:00,"First round","Cavee Verte","Le Havre","Czechoslovakia",3,0,"Netherlands","Czechoslovakia win after extra time",11000,0,0,"LECLERCQ Lucien (FRA)","OLIVE D. (FRA)","SDEZ Victor (FRA)",206,1172,"TCH","NED"
"43",43,1938,1938-06-09 18:00:00,"First round","Stade Municipal","Toulouse","Cuba",2,1,"Romania",NA,8000,0,1,"BIRLEM Alfred (GER)","CAPDEVILLE Pierre (FRA)","MARENCO Paul (FRA)",206,1157,"CUB","ROU"
"44",44,1938,1938-06-09 18:00:00,"First round","Parc des Princes","Paris","Switzerland",4,2,"Germany",NA,20025,1,2,"EKLIND Ivan (SWE)","BAERT Louis (BEL)","VAN MOORSEL Johannes (NED)",206,1166,"SUI","GER"
"45",45,1938,1938-06-12 17:00:00,"Quarter-finals","Stade du Parc Lescure","Bordeaux","Brazil",1,1,"Czechoslovakia",NA,22021,0,0,"VON HERTZKA Pal (HUN)","SCARPI Giuseppe (ITA)","DE LA SALLE Charles (FRA)",429,1152,"BRA","TCH"
"46",46,1938,1938-06-12 17:00:00,"Quarter-finals","Victor Boucquey","Lille","Hungary",2,0,"Switzerland",NA,15000,1,0,"BARLASSINA Rinaldo (ITA)","BERANEK Alois (AUT)","BOUTOURE D. (FRA)",429,1175,"HUN","SUI"
"47",47,1938,1938-06-12 17:00:00,"Quarter-finals","Fort Carree","Antibes","Sweden",8,0,"Cuba",NA,7000,4,0,"KRIST Gustav (TCH)","WEINGARTNER Karl (AUT)","SDEZ Victor (FRA)",429,1158,"SWE","CUB"
"48",48,1938,1938-06-12 17:00:00,"Quarter-finals","Stade Olympique","Colombes","Italy",3,1,"France",NA,58455,1,1,"BAERT Louis (BEL)","WUETHRICH Hans (SUI)","EKLIND Ivan (SWE)",429,1164,"ITA","FRA"
"49",49,1938,1938-06-14 18:00:00,"Quarter-finals","Stade du Parc Lescure","Bordeaux","Brazil",2,1,"Czechoslovakia",NA,18141,0,1,"CAPDEVILLE Georges (FRA)","MARENCO Paul (FRA)","KISSENBERGER Ernest (FRA)",429,1153,"BRA","TCH"
"50",50,1938,1938-06-16 18:00:00,"Semi-finals","Parc des Princes","Paris","Hungary",5,1,"Sweden",NA,20000,3,1,"LECLERCQ Lucien (FRA)","VAN MOORSEL Johannes (NED)","SCARPI Giuseppe (ITA)",3489,1176,"HUN","SWE"
"51",51,1938,1938-06-16 18:00:00,"Semi-finals","Stade V�lodrome","Marseilles","Italy",2,1,"Brazil",NA,33000,0,0,"WUETHRICH Hans (SUI)","BERANEK Alois (AUT)","MARENCO Paul (FRA)",3489,1149,"ITA","BRA"
"52",52,1938,1938-06-19 17:00:00,"Match for third place","Stade du Parc Lescure","Bordeaux","Brazil",4,2,"Sweden",NA,12000,1,2,"LANGENUS Jean (BEL)","OLIVE D. (FRA)","VALPREDE Ferdinand (FRA)",3488,1151,"BRA","SWE"
"53",53,1938,1938-06-19 17:00:00,"Final","Stade Olympique","Colombes","Italy",4,2,"Hungary",NA,45000,3,1,"CAPDEVILLE Georges (FRA)","WUETHRICH Hans (SUI)","KRIST Gustav (TCH)",3487,1174,"ITA","HUN"
"54",54,1950,1950-06-24 15:00:00,"Group 1","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Brazil",4,0,"Mexico",NA,81649,1,0,"READER George (ENG)","GRIFFITHS Benjamin (WAL)","MITCHELL George (SCO)",208,1187,"BRA","MEX"
"55",55,1950,1950-06-25 15:00:00,"Group 2","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","England",2,0,"Chile",NA,29703,1,0,"VAN DER MEER Karel (NED)","GARDELLI Mario (BRA)","DAHLNER Gunnar (SWE)",208,1192,"ENG","CHI"
"56",56,1950,1950-06-25 15:00:00,"Group 2","Durival de Brito","Curitiba","Spain",3,1,"USA",NA,9511,0,1,"VIANA Mario (BRA)","DA COSTA VIEIRA Jose (POR)","DE LA SALLE Charles (FRA)",208,1208,"ESP","USA"
"57",57,1950,1950-06-25 15:00:00,"Group 3","Pacaembu","Sao Paulo","Sweden",3,2,"Italy",NA,36502,2,1,"LUTZ Jean (SUI)","BERANEK Alois (AUT)","TEJADA Carlos (MEX)",208,1219,"SWE","ITA"
"58",58,1950,1950-06-25 15:00:00,"Group 1","Independencia","Belo Horizonte","Yugoslavia",3,0,"Switzerland",NA,7336,0,0,"GALEATI Giovanni (ITA)","EKLIND Ivan (SWE)","DATTILO Generoso (ITA)",208,1230,"YUG","SUI"
"59",59,1950,1950-06-28 15:00:00,"Group 1","Pacaembu","Sao Paulo","Brazil",2,2,"Switzerland",NA,42032,2,1,"AZON ROMA Ramon (ESP)","BUSTAMANTE Sergio (CHI)","DE NICOLA Cayetano (PAR)",208,1188,"BRA","SUI"
"60",60,1950,1950-06-28 15:00:00,"Group 1","Eucaliptos","Porto Alegre","Yugoslavia",4,1,"Mexico",NA,11078,2,0,"LEAFE Reginald (ENG)","DAHLNER Gunnar (SWE)","VAN DER MEER Karel (NED)",208,1225,"YUG","MEX"
"61",61,1950,1950-06-29 15:00:00,"Group 2","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Spain",2,0,"Chile",NA,19790,2,0,"MALCHER Alberto (BRA)","MARINO Esteban (URU)","ALVAREZ Alfredo (BOL)",208,1193,"ESP","CHI"
"62",62,1950,1950-06-29 15:30:00,"Group 3","Durival de Brito","Curitiba","Sweden",2,2,"Paraguay",NA,7903,2,1,"MITCHELL Robert (SCO)","LEMESIC Leo (YUG)","GARCIA Prudencio (USA)",208,1228,"SWE","PAR"
"63",63,1950,1950-06-29 15:00:00,"Group 2","Independencia","Belo Horizonte","USA",1,0,"England",NA,10151,1,0,"DATTILO Generoso (ITA)","DE LA SALLE Charles (FRA)","GALEATI Giovanni (ITA)",208,1202,"USA","ENG"
"64",64,1950,1950-07-01 15:00:00,"Group 1","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Brazil",2,0,"Yugoslavia",NA,142429,1,0,"GRIFFITHS Benjamin (WAL)","BERANEK Alois (AUT)","DA COSTA VIEIRA Jose (POR)",208,1191,"BRA","YUG"
"65",65,1950,1950-07-02 15:00:00,"Group 2","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Spain",1,0,"England",NA,74462,0,0,"GALEATI Giovanni (ITA)","LUTZ Jean (SUI)","DATTILO Generoso (ITA)",208,1199,"ESP","ENG"
"66",66,1950,1950-07-02 15:00:00,"Group 3","Pacaembu","Sao Paulo","Italy",2,0,"Paraguay",NA,25811,1,0,"ELLIS Arthur (ENG)","GARCIA Prudencio (USA)","DE LA SALLE Charles (FRA)",208,1218,"ITA","PAR"
"67",67,1950,1950-07-02 15:00:00,"Group 4","Independencia","Belo Horizonte","Uruguay",8,0,"Bolivia",NA,5284,4,0,"READER George (ENG)","VIANA Mario (BRA)","LEMESIC Leo (YUG)",208,1185,"URU","BOL"
"68",68,1950,1950-07-02 15:40:00,"Group 1","Eucaliptos","Porto Alegre","Switzerland",2,1,"Mexico",NA,3580,2,0,"EKLIND Ivan (SWE)","DAHLNER Gunnar (SWE)","BUSTAMANTE Sergio (CHI)",208,1222,"SUI","MEX"
"69",69,1950,1950-07-02 15:00:00,"Group 2","Ilha do Retiro","Recife","Chile",5,2,"USA",NA,8501,2,0,"GARDELLI Mario (BRA)","HEYEN Mario Ruben (PAR)","ALVAREZ Alfredo (BOL)",208,1194,"CHI","USA"
"70",70,1950,1950-07-09 15:00:00,"Group 6","Pacaembu","Sao Paulo","Uruguay",2,2,"Spain",NA,44802,1,2,"GRIFFITHS Benjamin (WAL)","DATTILO Generoso (ITA)","ALVAREZ Alfredo (BOL)",209,1207,"URU","ESP"
"71",71,1950,1950-07-09 15:00:00,"Group 6","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Brazil",7,1,"Sweden",NA,138886,3,0,"ELLIS Arthur (ENG)","GARCIA Prudencio (USA)","DE LA SALLE Charles (FRA)",209,1189,"BRA","SWE"
"72",72,1950,1950-07-13 15:00:00,"Group 6","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Brazil",6,1,"Spain",NA,152772,3,0,"LEAFE Reginald (ENG)","MITCHELL George (SCO)","DA COSTA VIEIRA Jose (POR)",209,1186,"BRA","ESP"
"73",73,1950,1950-07-13 15:00:00,"Group 6","Pacaembu","Sao Paulo","Uruguay",3,2,"Sweden",NA,7987,1,2,"GALEATI Giovanni (ITA)","BERANEK Alois (AUT)","DE NICOLA Cayetano (PAR)",209,1231,"URU","SWE"
"74",74,1950,1950-07-16 15:00:00,"Group 6","Pacaembu","Sao Paulo","Sweden",3,1,"Spain",NA,11227,2,0,"VAN DER MEER Karel (NED)","LUTZ Jean (SUI)","GARCIA Prudencio (USA)",209,1206,"SWE","ESP"
"75",75,1950,1950-07-16 15:00:00,"Group 6","Maracan� - Est�dio Jornalista M�rio Filho","Rio De Janeiro","Uruguay",2,1,"Brazil",NA,173850,0,0,"READER George (ENG)","ELLIS Arthur (ENG)","MITCHELL George (SCO)",209,1190,"URU","BRA"
"76",76,1954,1954-06-16 18:00:00,"Group 3","Wankdorf Stadium","Berne","Uruguay",2,0,"Czechoslovakia",NA,20500,0,0,"ELLIS Arthur (ENG)","LING William (ENG)","SCHICKER Werner (SUI)",211,1315,"URU","TCH"
"77",77,1954,1954-06-16 18:00:00,"Group 3","Hardturm","Zurich","Austria",1,0,"Scotland",NA,25000,1,0,"FRANKEN Laurent (BEL)","VIANA Mario (BRA)","GULDE Josef (SUI)",211,1236,"AUT","SCO"
"78",78,1954,1954-06-16 18:00:00,"Group 1","Charmilles","Geneva","Brazil",5,0,"Mexico",NA,13470,4,0,"WYSSLING Paul (SUI)","SCHONHOLZER Ernest (SUI)","DA COSTA VIEIRA Jose (POR)",211,1249,"BRA","MEX"
"79",79,1954,1954-06-16 18:00:00,"Group 1","La Pontaise","Lausanne","Yugoslavia",1,0,"France",NA,16000,1,0,"GRIFFITHS Benjamin (WAL)","BAUMBERGER Rene (SUI)","ASENSI Manuel (ESP)",211,1276,"YUG","FRA"
"80",80,1954,1954-06-17 18:00:00,"Group 2","Wankdorf Stadium","Berne","Germany",4,1,"Turkey",NA,28000,1,1,"DA COSTA VIEIRA Jose (POR)","ZSOLT Istvan (HUN)","MERLOTTI Armand (SUI)",211,1283,"FRG","TUR"
"81",81,1954,1954-06-17 18:00:00,"Group 2","Hardturm","Zurich","Hungary",9,0,"Korea Republic",NA,13000,4,0,"VINCENTI Raymond (FRA)","VON GUNTER Albert (SUI)","STEINER Carl (AUT)",211,1294,"HUN","KOR"
"82",82,1954,1954-06-17 18:10:00,"Group 4","St. Jakob","Basel","England",4,4,"Belgium",NA,14000,0,0,"SCHMETZER Emil (FRG)","BUCHMUELLER Fritz (SUI)","RUFFLI Willy (SUI)",211,1240,"ENG","BEL"
"83",83,1954,1954-06-17 17:50:00,"Group 4","La Pontaise","Lausanne","Switzerland",2,1,"Italy",NA,43000,1,1,"VIANA Mario (BRA)","ASENSI Manuel (ESP)","MARINO Esteban (URU)",211,1300,"SUI","ITA"
"84",84,1954,1954-06-19 16:50:00,"Group 3","St. Jakob","Basel","Uruguay",7,0,"Scotland",NA,34000,2,0,"ORLANDINI Vincenzo (ITA)","WYSSLING Paul (SUI)","GUIDI Denilo (SUI)",211,1313,"URU","SCO"
"85",85,1954,1954-06-19 17:00:00,"Group 3","Hardturm","Zurich","Austria",5,0,"Czechoslovakia",NA,26000,4,0,"STEFANOVIC Vasa (YUG)","DOERFLINGER Ernst (SUI)","GULDE Josef (SUI)",211,1238,"AUT","TCH"
"86",86,1954,1954-06-19 17:10:00,"Group 1","Charmilles","Geneva","France",3,2,"Mexico",NA,19000,1,0,"ASENSI Manuel (ESP)","FRANKEN Laurent (BEL)","BAUMBERGER Rene (SUI)",211,1275,"FRA","MEX"
"87",87,1954,1954-06-19 17:00:00,"Group 1","La Pontaise","Lausanne","Brazil",1,1,"Yugoslavia",NA,24637,0,0,"FAULTLESS Charlie (SCO)","ELLIS Arthur (ENG)","VON GUNTER Albert (SUI)",211,1252,"BRA","YUG"
"88",88,1954,1954-06-20 16:50:00,"Group 2","St. Jakob","Basel","Hungary",8,3,"Germany",NA,56000,3,1,"LING William (ENG)","SCHICKER Werner (SUI)","GRIFFITHS Benjamin (WAL)",211,1277,"HUN","FRG"
"89",89,1954,1954-06-20 17:00:00,"Group 2","Charmilles","Geneva","Turkey",7,0,"Korea Republic",NA,4000,4,0,"MARINO Esteban (URU)","ORLANDINI Vincenzo (ITA)","SCHONHOLZER Ernest (SUI)",211,1304,"TUR","KOR"
"90",90,1954,1954-06-20 17:10:00,"Group 4","Wankdorf Stadium","Berne","England",2,0,"Switzerland",NA,43500,1,0,"ZSOLT Istvan (HUN)","DA COSTA VIEIRA Jose (POR)","STEFANOVIC Vasa (YUG)",211,1263,"ENG","SUI"
"91",91,1954,1954-06-20 17:00:00,"Group 4","Comunale di Cornaredo","Lugano","Italy",4,1,"Belgium",NA,24000,1,0,"STEINER Carl (AUT)","VINCENTI Raymond (FRA)","SCHMETZER Emil (FRG)",211,1243,"ITA","BEL"
"92",92,1954,1954-06-23 18:00:00,"Group 2","Hardturm","Zurich","Germany",7,2,"Turkey",NA,17000,3,1,"VINCENTI Raymond (FRA)","FAULTLESS Charlie (SCO)","DOERFLINGER Ernst (SUI)",211,1284,"FRG","TUR"
"93",93,1954,1954-06-23 18:00:00,"Group 4","St. Jakob","Basel","Switzerland",4,1,"Italy",NA,30000,1,0,"GRIFFITHS Benjamin (WAL)","DA COSTA VIEIRA Jose (POR)","LING William (ENG)",211,1301,"SUI","ITA"
"94",94,1954,1954-06-26 17:00:00,"Quarter-finals","St. Jakob","Basel","Uruguay",4,2,"England",NA,28000,2,1,"STEINER Carl (AUT)","STEFANOVIC Vasa (YUG)","ORLANDINI Vincenzo (ITA)",212,1264,"URU","ENG"
"95",95,1954,1954-06-26 17:00:00,"Quarter-finals","La Pontaise","Lausanne","Austria",7,5,"Switzerland",NA,35000,5,4,"FAULTLESS Charlie (SCO)","ASENSI Manuel (ESP)","SCHMETZER Emil (FRG)",212,1237,"AUT","SUI"
"96",96,1954,1954-06-27 17:00:00,"Quarter-finals","Charmilles","Geneva","Germany",2,0,"Yugoslavia",NA,17000,1,0,"ZSOLT Istvan (HUN)","FRANKEN Laurent (BEL)","BUCHMUELLER Fritz (SUI)",212,1285,"FRG","YUG"
"97",97,1954,1954-06-27 17:00:00,"Quarter-finals","Wankdorf Stadium","Berne","Hungary",4,2,"Brazil",NA,40000,2,1,"ELLIS Arthur (ENG)","LING William (ENG)","WYSSLING Paul (SUI)",212,1248,"HUN","BRA"
"98",98,1954,1954-06-30 18:00:00,"Semi-finals","St. Jakob","Basel","Germany",6,1,"Austria",NA,58000,1,0,"ORLANDINI Vincenzo (ITA)","ELLIS Arthur (ENG)","BUCHMUELLER Fritz (SUI)",462,1233,"FRG","AUT"
"99",99,1954,1954-06-30 18:00:00,"Semi-finals","La Pontaise","Lausanne","Hungary",4,2,"Uruguay","Hungary win after extra time",45000,0,0,"GRIFFITHS Benjamin (WAL)","FAULTLESS Charlie (SCO)","VINCENTI Raymond (FRA)",462,1295,"HUN","URU"
"100",100,1954,1954-07-03 17:00:00,"Match for third place","Hardturm","Zurich","Austria",3,1,"Uruguay",NA,32000,1,1,"WYSSLING Paul (SUI)","ZSOLT Istvan (HUN)","ELLIS Arthur (ENG)",3485,1239,"AUT","URU"
"101",101,1954,1954-07-04 17:00:00,"Final","Wankdorf Stadium","Berne","Germany",3,2,"Hungary",NA,62500,2,2,"LING William (ENG)","ORLANDINI Vincenzo (ITA)","GRIFFITHS Benjamin (WAL)",3484,1278,"FRG","HUN"
"102",102,1958,1958-06-08 14:00:00,"Group 3","Rasunda Stadium","Solna","Sweden",3,0,"Mexico",NA,34107,1,0,"LATYCHEV Nikolaj (URS)","MOWAT Jack (SCO)","ERIKSSON Arne (FIN)",220,1415,"SWE","MEX"
"103",103,1958,1958-06-08 19:00:00,"Group 4","Nya Ullevi","Gothenburg","Soviet Union",2,2,"England",NA,49348,1,0,"ZSOLT Istvan (HUN)","NILSEN Birger (NOR)","JORGENSEN Carl Frederik (DEN)",220,1372,"URS","ENG"
"104",104,1958,1958-06-08 19:00:00,"Group 1","Malmo Stadion","Malm�","Argentina",1,3,"Germany",NA,31156,1,2,"LEAFE Reginald (ENG)","HELGE Leo (DEN)","AHLNER Sten (SWE)",220,1323,"ARG","FRG"
